Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Email 1,Email 2,Website,Source,Deal Stage,Notes
11,FcccE8F2Af16e0E,Monica Hendrix,Brittany,Ellison,"Carson, Martin and Castaneda",(345)578-8340,201-283-2895x96156,savagexavier@gonzalez-calderon.com,jimenezcarrie@holloway.org,https://www.marshall-davies.com/,Content Marketing,New Lead,Forward these front appear deal.
12,aDc773b6C04C423,Sean Rhodes,Jacob,Ruiz,"Frost, French and Owens",+1-802-953-3859x15419,581.201.3830,fritzhunter@holden-wolf.info,rbradshaw@hansen.com,https://roberts.com/,Retargeting Ads,Proposal Sent,Despite suggest entire real relate such challenge.
13,9ABAfeCaA82ed5c,Fred Terrell,Ronnie,Hutchinson,Reilly Ltd,001-797-614-8900x3693,001-270-810-6378,arodriguez@bullock-moran.com,blucas@thompson.com,http://wilkins-gentry.com/,Podcast,Contacted,Quality billion training small thought.
14,c3d5e28b3B5Fada,Karen Bradshaw,Kristin,Jimenez,"Cain, Mendez and Fritz",715.496.9409,(410)641-7542x13792,kelleyjim@carrillo.biz,mosleychristy@norman-vance.com,http://ali.com/,Cold Email,Disqualified,Nice quickly method find close big maintain.
15,2BFC8bFD55DDf44,Alexandra Haas,Tanya,Carroll,Franklin Inc,807.706.1363,8874507846,craig69@mccann.com,walterbolton@ortiz.info,https://newman.biz/,LinkedIn Outreach,Re-engagement,Head particularly camera threat service before.
16,5F51cbB8cb6cD76,Sabrina Cross,Miguel,Hughes,Noble Inc,634.678.1212x666,6299968243,acevedokatelyn@kirk-wells.com,kathleen91@riggs-yu.info,https://www.baird.com/,Webinars,Closed Won,Morning hair dark so pretty lead.
17,C4CF215b0b7f3FA,Bradley Floyd,Gordon,Braun,"Hernandez, Walters and Carr",001-794-271-7780,919.925.8352,hmacdonald@pratt.info,sallywatkins@oliver.org,http://www.mclean.com/,Google Ads,Qualified,Star choose dog want run capital rate.
18,6a72FbDE42Aca8F,Nicolas Conley,Frederick,English,Brown Group,+1-419-701-0654x22287,+1-343-686-2684x502,lee93@murray.net,carriecabrera@salas.com,https://www.obrien.net/,Other,Re-engagement,Mind case world stay although but morning five.
19,38AA034971515dc,Molly Golden,Maxwell,Giles,Boyer-Compton,494.643.2381x518,(453)973-8490,xvalentine@mack.biz,yolanda71@mcgrath-castaneda.net,https://villarreal-salas.biz/,Partner Program,Re-engagement,Must another tough fly air time however.
20,Aa2a64FDaD57551,Jack Mccarthy,Ralph,Walton,"Pruitt, Villa and Bauer",001-779-680-8231,210-616-0152x7993,dianedonaldson@ware-kaiser.org,woodsroberto@arellano.biz,http://www.knight.com/,Webinars,Re-engagement,System ball if lawyer case represent picture.
21,313efD1bdBcA9f1,Willie Serrano,Shelley,Ponce,Hatfield Ltd,918-393-7269x10073,001-865-342-2695x78948,jonathan89@blanchard.org,alicia14@austin.info,https://www.bowen-gilbert.com/,Purchased List,Closed Won,Increase management mother growth remember case phone.
22,cC7eF08D23f1048,Justin Wong,Tricia,Acevedo,Bird LLC,001-464-887-1058x28980,569-232-0651x7786,xdyer@gray.net,jenkinstyler@ford-willis.com,https://gallegos.net/,Partner Program,Qualified,Design house hard figure nearly man.
23,FaE377F8dF3Dad9,Donald Lang,Breanna,Medina,Wu-Lopez,238-587-4914,7456759236,jeffrey90@patrick.net,tylerdaniel@winters-prince.com,https://www.gardner.com/,Google Ads,On Hold,Bring age none drug lead.
24,092CFE6b66898e8,Jonathon Fitzpatrick,Donna,Pearson,Mckinney-Conley,+1-991-537-4653x1446,743-307-7625x949,baileyjane@acevedo-pruitt.com,igaines@underwood.org,https://deleon.com/,Other,Re-engagement,Rich follow your maybe.
25,07dc3fA67F11AC4,Darius Johnston,Sydney,Johnson,"Sloan, Proctor and Young",(810)803-4347,205.940.1077,duartecesar@logan-clements.biz,droberts@escobar-stephens.com,http://www.cox-bowers.biz/,Trade Show,Negotiation,Real maintain today.
26,4fB392f5202BC9A,Shelby Dennis,Alec,Rodgers,"Sellers, Knox and Howard",330-567-6183x353,+1-355-497-4592x02099,kerrywatts@chung.biz,pherrera@hess-rivera.com,http://www.trujillo-hodge.com/,Website Form,Disqualified,Late else able grow east.
27,9FAF10743aA4D10,Kayla Buchanan,Alejandra,Walls,"Barajas, Velazquez and Hammond",001-434-269-3274x857,001-762-979-9205,angel24@gill.com,meaganbright@hunt-dillon.info,https://rasmussen.com/,Other,Contacted,Exist include no attention however.
28,484Eb8C1ac47F27,Hayley Garrison,Blake,Cooke,Phillips-Adkins,471-200-0652x690,+1-497-682-4241x5267,munozpriscilla@dean.biz,espinozakara@chavez-bradford.com,https://sweeney.net/,Cold Call,Closed Won,Project center carry hotel just.
29,Fe664C02C82FEFE,Patty Carr,Evelyn,Fischer,Davies PLC,5794317826,(496)622-6698,crystal37@wright-turner.com,davilaveronica@bean-castro.net,https://www.randall-mccormick.com/,Other,Contacted,Structure mean side order possible industry citizen.
30,3a95368A52730bC,Francisco Arnold,Travis,Burton,"Carpenter, Tapia and Carpenter",6456222184,557.878.8554,iward@mccarthy.com,cuevasricky@oneill.biz,http://haney.com/,Networking Event,Proposal Sent,Win spring speak young head.
31,2C9F1C04B81cDB7,Frederick Duke,Lisa,Burgess,Chan PLC,960.808.3804x9778,450-348-5675x74310,zchang@hodge.biz,watersdarius@zuniga.net,http://www.moyer-mcdonald.com/,Trade Show,New Lead,Medical heart sister identify audience agreement.
32,D9FC2f878Fc24DC,Bianca Boyle,Joe,Wallace,"Smith, Cochran and Robbins",889-970-8706,(753)942-4655,lynchheidi@coffey.com,cuevassabrina@valentine.biz,http://www.morales.com/,Content Marketing,Closed Lost,Conference away space everything.
33,30f9dcdB1D8e88C,Brett Shelton,Sergio,Coleman,Mitchell-Beasley,001-506-331-1186x9181,001-639-301-7597,franklindylan@gibson.com,cdodson@berger.biz,http://lynn-kelley.com/,LinkedIn Outreach,Negotiation,Year back generation seek black my own rest.
34,D4755418A460a6e,Natasha Hart,Kendra,Logan,"Sexton, Ramsey and Flowers",6612923404,(960)236-9005x24731,comptonshelly@sanders.com,shortelaine@sosa-love.com,https://jordan.com/,Podcast,Contacted,Light involve rich box drop call.
35,4b21fD3ED02DBd4,Brad Travis,Grace,Byrd,Ferguson-Nolan,447.453.1755x7849,508-408-4675x54714,roberto44@skinner-willis.com,jasminrogers@sampson.com,http://www.contreras.com/,Social Media,Re-engagement,Maybe ability though perhaps report art nice.
36,a98Ca8eA67a16F4,Stacie Cunningham,Dominique,Shields,"Rosales, Mata and Herrera",4144212193,(245)515-6246x55477,pamelapowell@weber.com,kfinley@rogers-duncan.com,http://clayton.com/,Referral,Proposal Sent,Protect forward future give trip.
37,de3fB9b5Cc0CEB0,James Buck,Barry,Macias,Estes PLC,235.395.2835,634.843.9439x904,cesar53@sweeney.net,meganallen@lester.com,https://browning-friedman.com/,Other,Contacted,Her move movie others any.
38,73aD23b470806de,Suzanne Burke,Helen,Merritt,"Dunlap, Carpenter and Collins",389-957-8360,458-447-8257x26595,hartjennifer@vance-blair.com,lawrencepaul@duncan-luna.com,http://cook.com/,Content Marketing,On Hold,Daughter forget have really industry.
39,b3fdD75b2ca86af,Laura Collins,Rose,Hatfield,"Blanchard, Ochoa and Silva",711-536-1331,001-639-838-0940x42688,tavery@knox.com,davenportcarl@stanley.info,http://rosario.info/,Trade Show,Closed Won,Imagine try region five all.
40,be00f52c0D541eD,Jane Edwards,Cristian,Hodge,Pacheco-Martinez,219.290.2997x844,978-403-6242x000,juliastone@oliver.com,wpowell@cardenas.com,https://boyer.com/,Partner Program,Closed Lost,Ago fill already class begin.
41,Bb5ede8dF46e3De,Devin Mayer,Greg,Beasley,Chambers Ltd,+1-481-979-2708,(886)994-0897x554,linda63@larsen.com,nmurray@thompson-farmer.net,http://www.perry.net/,Networking Event,Disqualified,Evidence star answer bank popular road important.
42,4EBDC4c1A4a9EC3,Catherine Frye,Traci,Duffy,"Kent, Charles and Boyle",452.969.0064x88508,001-497-375-8376x87800,istokes@tate.org,ksingh@singleton-weiss.com,http://chambers.com/,Direct Traffic,On Hold,Seven nor word others ten.
43,Fe26acdde6E6eAc,Lindsay Spence,Jerry,Dudley,Branch-Park,001-787-927-9374x951,(223)311-5091x5015,silvatoni@santos.biz,bstanton@morrison.biz,http://palmer.com/,LinkedIn Outreach,Contacted,Course only alone not Mrs wrong meeting PM.
44,C4feaf8A4a72CcC,Maria Singleton,Cynthia,Kemp,"Lyons, Sweeney and Bailey",456-400-4035x32633,867.700.8506,murraydeborah@rios.com,sylvia84@porter.org,http://harris-simon.com/,Purchased List,Disqualified,Church continue each serve indicate each.
45,420b60cDEBe8C29,Mike Grant,Tony,Kane,Velazquez Ltd,001-976-945-6814x552,001-472-875-0087x8419,pmcpherson@white.org,eriddle@gregory.com,http://www.mitchell.org/,Referral,On Hold,Old late city debate yourself maybe serve amount.
46,Fd2801a0F6a2B9d,Angela Butler,Caroline,Humphrey,Parker Ltd,963.977.7932x465,954.226.3967,thodge@callahan.com,glennestrada@barr.com,http://www.merritt.com/,Podcast,Negotiation,Knowledge at huge special.
47,374F4fcAdA6ac45,Priscilla Ingram,Norman,Lam,"Madden, Villa and Dodson",(988)248-2063x92849,5186285364,meredithaguirre@short.biz,sherryharrison@arroyo.com,http://www.snyder.com/,Webinars,Closed Won,Than trip both not serious democratic.
48,3F947BabA1426F2,Alexandra Jefferson,Christina,Wells,Leonard and Sons,464-772-2602x48350,203-696-2285,glendanichols@hodge.info,madison66@wright.info,http://schultz-mcmillan.com/,Retargeting Ads,Closed Lost,Despite understand matter religious mouth care.
49,5eE4b9F39fd88b2,Arthur Sanford,Vanessa,Munoz,"Cordova, Hutchinson and Mcgee",001-274-522-6412,235.469.1742x1297,fsanders@friedman.net,qkidd@wilcox.com,https://www.torres-atkins.biz/,Purchased List,New Lead,Table offer blood fear recent serious must dark.
50,fF5ede1B1dccb23,Jennifer Mcdowell,Nicolas,Waters,Barron-Mcmillan,950-546-5458,420-771-5884,calvin74@powers.biz,christie99@villarreal.org,http://www.mckenzie-tran.org/,Google Ads,Proposal Sent,Team cut simply hit form rock early.
51,9bd8AA3BBC3fc0a,Tom Pena,Summer,Rhodes,Schultz and Sons,998-431-3736,468-885-7783x32887,milesalbert@buck.com,aprilfrank@fischer.biz,http://www.meyers.info/,Social Media,Contacted,Participant despite soon full resource.
52,9bDd8c80509A6Ca,Kristi Duffy,Terrance,Kelley,"Compton, Peck and Ayala",(234)276-3082x0301,8583974727,tiffanybenitez@price-baird.com,shannon58@fitzpatrick-gibson.com,http://williams.biz/,Facebook Ads,Disqualified,Ability both fund blue stock.
53,c3cd9eE09908AC4,Andrew Pacheco,Duane,Esparza,Allison-Lowery,247.601.9115,001-325-403-0248x37902,hnichols@ramsey-braun.com,tyrone06@hutchinson.com,https://powell.info/,Trade Show,On Hold,Beyond spring focus front yourself discuss.
54,4fff015c94FB3Db,Connie Browning,Suzanne,Hunter,Chase Ltd,832-764-5203x07010,573-534-1679x689,whiteheadveronica@barrett-barnes.net,duane19@gregory-conway.com,http://dyer-raymond.com/,Social Media,Qualified,Skin bit kind threat choose.
55,Eb5BfeFbbBcE8ae,Karl Grimes,Stanley,Martin,"Collins, Ashley and Fuller",(372)486-1203x7572,001-930-528-9755x340,barbaraellis@valenzuela.com,dakota22@ray-cowan.com,http://www.fuentes.com/,Networking Event,Disqualified,Risk technology fast blue set him.
56,bf33bE6E4C9ae7f,Geoffrey Barker,Amber,Harvey,"Logan, Harrington and Berger",226-524-7037x7710,477-447-9570x8028,ohenry@french.com,sheakristina@avery.biz,https://love.com/,Networking Event,Closed Won,Natural huge perform.
57,Fafa48ea32EedCB,Perry Prince,Jerry,Terry,"Jacobson, Chung and Hurley",855-284-5795,536-483-2640,mclaughlinhector@pitts-kline.net,jpage@rush.com,http://berg.info/,Facebook Ads,Negotiation,Billion subject fight such front minute.
58,1Ccab4A03b1B5D8,Seth Knapp,Jimmy,Wright,Osborn Group,579.766.1769x4340,(252)531-2687,davidhayley@frey-parker.info,hamiltonpenny@may-cook.com,http://mccann-ferguson.com/,Content Marketing,New Lead,Table speech produce address arrive partner during.
59,db9dDDbfDfEefF9,Maurice Rogers,Martin,Long,Payne-Shea,702.860.8581x416,+1-971-889-4515,caitlyn62@huang.com,fmcdonald@larson.info,https://www.neal.com/,Organic Search (SEO),Closed Won,Least message system.
60,C3c0b505e5BAd5c,Melanie Richardson,Isabella,Ryan,"Hebert, Wong and Madden",(674)767-1732x280,001-352-854-5139,pweiss@blackburn-newton.biz,pennydyer@townsend.com,https://www.raymond.biz/,Retargeting Ads,Closed Won,Also rate white land lawyer.
61,1705e05f14f6912,Timothy Hogan,Jennifer,Owen,Bennett PLC,274.514.4908x324,414-274-4535,lawsonmisty@clay-doyle.com,travis81@macdonald.biz,https://www.walls.com/,Organic Search (SEO),Closed Won,Through professional treatment choice important stuff trial food.
62,5d0A501Feb9BE5d,Sonya Cantrell,Johnathan,Flowers,Johnston and Sons,001-409-449-5594x40741,948-253-6106x43970,blanchardmallory@chandler.com,tfrench@shannon.info,https://sutton.com/,Facebook Ads,Contacted,Him still court option future drug military.
63,9ACfffe83342b9A,Robert Chung,Natasha,Snyder,Farley-Calderon,001-538-829-0231x78737,+1-670-297-6709,torreslydia@shaffer-davidson.com,pedro38@harper.com,https://moses.com/,Content Marketing,Contacted,Director language think tell appear.
64,AA7Ee3E97f6f61b,Valerie Baxter,Caroline,Lindsey,"Browning, Wallace and Acevedo",+1-542-512-6134x059,(385)955-7556x7344,paulshane@owens.org,billy48@hickman-ross.com,http://lawrence.com/,Referral,New Lead,Air success involve admit.
65,05f9dC74B1bB38E,Shannon Carney,Tammie,Watts,"Craig, Keller and Fisher",001-207-640-9710,(791)905-9833,melanieirwin@santos-gonzalez.com,tommy35@schneider-carrillo.com,http://lindsey.com/,Google Ads,New Lead,Within fire down cultural respond my decide.
66,2Fb3d8f3160055e,Sonia Allison,Geoffrey,Le,"Schultz, Hays and Brandt",575.213.3742x4486,935.419.3237x4039,mckenziegail@holloway-keith.com,timothyferguson@lowery.info,https://www.hartman.net/,Partner Program,Closed Won,Look tax paper.
67,E9BFbd236cbAEAC,Adriana Mcintyre,Roger,Clements,"Calhoun, Medina and Beck",+1-779-577-2076,305-545-0335x491,jshaffer@lowery.com,rojaskristopher@sherman.org,https://www.holder.net/,Facebook Ads,On Hold,Those worry most change both TV news.
68,F29F6BD7e32A30B,Jaclyn Mullen,Darin,Hutchinson,Benson Ltd,259.863.3227x511,282.959.7266x7786,aguilarlaurie@campos-park.com,vrojas@davidson.org,http://henry-vazquez.com/,Trade Show,Proposal Sent,In one well.
69,f06543f308dAE04,Christina Rich,Lonnie,Strong,Sanders Ltd,451-639-5104,758-313-1997,friedmanrebekah@ray-harrell.biz,corey01@greene.com,http://www.snyder.com/,Content Marketing,Qualified,Behavior civil interview public save generation protect.
70,cA4Db5d6aBBca53,Jeanne Estes,Glenda,Curtis,"Mcintosh, Giles and Mcknight",387.966.1485x13581,(554)541-5506,qstein@edwards.com,chelsey58@travis.org,http://www.gibson.info/,Direct Traffic,Qualified,Forward language new.
71,19e428adeC98c74,Jaime Perry,Jordan,Leonard,Benjamin-Pena,001-928-978-3429,691-438-6671,nknight@bird-craig.info,gerald75@glass.net,http://boyer-norman.biz/,Referral,Closed Lost,His reflect talk world.
72,A2C16f0fa737cA4,Helen Best,Gary,Charles,Cruz LLC,001-892-608-2126x83050,7687032176,danny22@todd.net,ebony09@ray.net,http://www.cardenas.com/,Referral,On Hold,Final institution management.
73,1DBa95e75af64b0,Samantha Day,Lauren,Jackson,Wu-Kelley,706-763-2880x51323,(648)588-0177x590,ingramstephanie@nolan-tanner.biz,beverly36@bradshaw.biz,https://brady.com/,Cold Email,Disqualified,Carry investment black language particular for.
74,63dCCDDf2C1F422,Alec Whitehead,Jackie,Krause,Meyers-Pennington,955-986-2198,885-579-3896x98697,ahaynes@waters.com,kristie48@russo.org,http://www.wells.org/,Chatbot,Disqualified,Bed interesting huge arm fear foreign campaign myself.
75,ec954fFcAB74E0b,Frank Donovan,Tami,Zhang,Proctor-Cuevas,(465)325-9053x9170,223-828-7015x60414,merritteric@patton.net,qhines@barajas.com,http://harris-moody.com/,Cold Email,New Lead,Pass use space allow exist recognize.
76,bebf9Bc960Ce52A,Shawn Richard,Casey,Hodges,Booker Ltd,5159211514,+1-519-498-4732x00937,kristyburke@dorsey.org,isabella29@bright-kline.com,http://conner.com/,Partner Program,Disqualified,Baby short rather return finish.
77,9FBC5DDbA9CBf0a,Susan Williams,Stanley,Montes,Hicks Inc,001-203-847-8416x1692,5072578848,judithcortez@mcgrath-cook.com,laceymoody@cordova.info,https://bowen.com/,Purchased List,Closed Lost,Different start player sometimes see.
78,E36c1DE6f96Eb3E,Felicia Wolf,Kristi,Moran,Lucas-Hurley,610.402.8014x780,001-996-456-1989,chase57@olsen.com,wyattrick@gray.com,https://www.hickman-jordan.com/,Networking Event,Contacted,Six mission nation third film.
79,cA772e7bf12d47b,Pedro Faulkner,Shelly,Foster,Murray-Carr,001-675-313-3389x952,302.247.2032x58540,igallagher@hammond.com,sergioconner@cuevas.info,https://church.com/,Referral,Contacted,Hot create technology speech.
80,d58D408AddB1cf6,Jasmin Pace,Danielle,Weaver,"Bond, Werner and Lutz",8382225204,473.746.0313,stevenfleming@lang.com,jerrycosta@buckley.biz,https://www.dennis.com/,Partner Program,Qualified,Give manager suddenly attention arrive as data size.
81,aC3F8078CafdC40,Toni Delacruz,Robyn,Mcfarland,Beltran-Walker,+1-290-979-8800x125,(302)595-1670,maldonadocolton@zuniga.net,darrenbarrera@lane.net,https://www.harper.com/,Other,Contacted,None customer must their son cold.
82,d6087a4fe1ED771,Chris Bishop,Mariah,Galloway,Holland-Fritz,660.845.0375,628-570-8421,uwade@nicholson.com,peggyfrench@boone.org,http://huang.com/,Webinars,Closed Lost,Admit save table relate.
83,Fde0b4AA0aCAF5e,Joshua Bates,Joshua,Carlson,"Meza, Dunlap and Fernandez",+1-915-415-0852x725,001-359-688-1151x5663,downspriscilla@meza-mullins.com,hatfieldwyatt@lyons.com,https://www.hansen.com/,Facebook Ads,Disqualified,Bring field attack page.
84,D01eBC27eAF1dab,Cheyenne Greene,Charlotte,Hobbs,Maddox-Whitney,+1-212-940-7377x0397,001-595-295-2020,dalexander@decker-wade.com,hensonchris@pittman.com,http://mcdonald.com/,Chatbot,Proposal Sent,Hand action show under capital garden.
85,4Fe2ACd9B74cea4,Mitchell Hale,Renee,Lindsey,"Fisher, Robinson and Rowe",+1-573-416-1684x827,686.335.6141,gutierrezmeghan@branch.com,toniblair@gonzales.net,http://www.martinez.com/,Webinars,Negotiation,Staff late others team serve water.
86,11DAa9997dD32E9,Kaitlin Olson,Amber,Blankenship,Gilbert Ltd,(529)617-1662,351-467-8828,taylorkristine@haley.com,sonyabriggs@hatfield.biz,http://www.carey.com/,Other,Contacted,Civil fine read involve require.
87,9b72e88e0Ff19BE,Karl Franklin,Sonya,Douglas,"Petty, Noble and Gaines",001-793-356-6074x1803,(934)421-8857,cgutierrez@sanders.com,racevedo@chandler.org,http://www.bonilla.org/,Direct Traffic,Closed Won,Any nation really although strong.
88,3e9264f9CcC7BEA,Nicole Fisher,Andrew,Frederick,Hayden-Gibson,(230)750-4377x28424,001-445-825-4356x0915,mellis@stephenson.com,yangbenjamin@stokes-wall.com,http://www.rodgers-montes.com/,Podcast,Contacted,Say must realize anything.
89,CCADCFB92fdc1b5,Melvin Carney,John,Holden,Galloway-Shah,631.986.6861x488,(347)599-7935,millsmercedes@rocha-hanson.com,princemichaela@marsh.info,http://cardenas.com/,Partner Program,Closed Won,Age require boy pressure forget author short.
90,C1F902382E94aaE,Alison Osborn,Marc,Burnett,Edwards Group,760-537-3429x063,(338)989-8070x4641,csawyer@ellis.com,rbell@sims-colon.com,http://wade-bentley.com/,Organic Search (SEO),Re-engagement,Say dog either teach.
91,A75BbDDEB11FA3E,Grant Guerrero,Jeffrey,Keller,Meadows-Frank,983.869.2559x886,872-355-5798x03938,daisybryant@riley-hahn.com,navarrochristie@copeland.info,http://www.buck-michael.com/,Cold Call,New Lead,Hundred scientist join end piece clear stock.
92,b02469e0bCD4aaD,Brittney Galvan,Jessica,Weber,Gould-Marquez,550-366-4989,899-587-9866,lori09@finley-munoz.info,lkirk@wilkins.com,https://www.holder.org/,Cold Call,Qualified,Per several foreign begin five.
93,29A6E2615F169Df,Sophia Compton,Hector,Burton,Cole and Sons,718-731-9034x03328,001-298-488-1433x01053,lchen@frey.com,sferrell@haney.com,http://harrell.com/,Direct Traffic,Proposal Sent,Ask interest training sense court room situation.
94,B40D237E1cAe4a7,Katrina Arroyo,Tricia,Robertson,Mccall PLC,798.754.1762x03725,+1-712-201-1140,ugraham@malone-alexander.info,ufleming@preston.org,http://melendez.com/,Trade Show,New Lead,Do water least film in democratic.
95,966d1bAAecda0e7,Joseph Contreras,Betty,Stein,"Manning, Benitez and Jefferson",767.258.1914,001-244-909-6657x316,ywalters@warner-barber.com,laceylove@lucas.net,http://www.arias.com/,Retargeting Ads,Contacted,Manage town only her real current police.
96,5C3cAa3B6dF714e,Brittney Robbins,Dustin,Butler,Durham Group,001-959-974-2328,838-969-5597,vangeduardo@fitzgerald.com,morandrew@hanson.net,https://www.bridges.com/,Networking Event,Qualified,School reality similar Democrat.
97,9F7ee5a4e1DeA51,Annette Bird,Carl,Duffy,"Green, Tucker and Meyers",469.913.7014x430,494.703.4166,neil40@riddle-hahn.com,gabriella47@holt.com,http://www.bean.com/,Google Ads,On Hold,Four without others.
98,bD4cCCABEEe5AEf,Ana Wang,Noah,Harper,Stanley-Parsons,(602)260-6572x2103,001-681-757-6891x22585,lovephilip@gregory.com,rowebetty@owen.com,http://www.lara-riggs.com/,Referral,New Lead,Medical mean skin care across guy partner operation.
99,474408fefE54d1F,Kelly Serrano,Kristen,Hardin,Lane-Conway,+1-847-239-4809x50741,514.264.3558x099,savageallen@christian.com,natalie93@ritter.com,http://weiss.com/,Direct Traffic,Closed Won,Letter why success or reveal eight course wait.
100,F12DcE2E8E71BdC,Anna Porter,Leslie,Wright,"Ayala, Spence and Chen",357.745.3206x5546,(743)295-1270x17701,jennifer84@higgins.info,stuart58@erickson-mccann.com,http://esparza-cooley.org/,Retargeting Ads,Disqualified,Office million student high network value still.
101,4A13BEa8c1De4BC,Doris Blake,Kristen,Schultz,"Blanchard, Jackson and Roman",001-622-790-7695,876-614-4754,judithvincent@stevens-rangel.com,kanechase@rosario-yoder.biz,http://jackson-gonzalez.com/,Purchased List,Closed Lost,Land note no measure organization believe establish.
102,40B163848E83aB7,Jorge Bauer,Lydia,Carpenter,Garrett-Rollins,(741)594-3110x326,477.985.3421,marknovak@flynn.org,walshkaren@moyer.info,https://hanna-morrow.com/,Social Media,Negotiation,Culture price range choose wind technology remember why.
103,5F9D0e2ab89a5Fc,Frederick Mcclure,Tanner,Moon,Alvarado-Parks,(358)752-5471x046,258-624-7841,tabitha81@monroe.net,carlyburnett@arnold.biz,https://www.horne.com/,Referral,Disqualified,Strategy event suggest detail kind total east.
104,2afd42bBCA7147b,Vernon Hayden,Martha,Adkins,Jones Inc,787.653.2215,217.251.0932x44822,patty12@rojas.com,troyrivers@simpson-brown.biz,http://www.carpenter.info/,Google Ads,Qualified,Only after whether recent.
105,eDFe4eF689ffffA,Samantha Arias,Angel,Dawson,"Spears, Sexton and Harper",001-782-248-8701,+1-954-395-0406x0206,dsantiago@parker.com,derek72@mason.com,https://www.pennington-huff.com/,Webinars,On Hold,Reflect whose exist hand.
106,EEECCDCDCEb8B6c,Robert Marquez,Latoya,Monroe,Jones Group,5595177245,662.644.4967x2461,pattygood@wells.com,geoffreygillespie@harper.com,http://www.christian.com/,Content Marketing,Negotiation,Black rise two job.
107,b9c0f3943eAcFbB,Sergio Rhodes,Grace,Roberson,Benson-Cantu,+1-315-545-9698x5175,+1-534-792-7425,norrisashlee@dougherty.com,haydenmclaughlin@herrera-edwards.com,http://www.kramer.info/,Referral,Proposal Sent,Visit rule fast hospital.
108,CFe6EAAFE1B1ecA,Krystal Thompson,Mercedes,Benitez,West-Fields,728.579.5341x0016,477.790.7157x042,carl68@strong.info,lfuller@dawson-hernandez.com,https://www.knapp-rogers.biz/,Trade Show,On Hold,Matter deep picture tell security service opportunity.
109,881B43aa6aB0D5c,Stephen Kirby,Angie,Jacobs,Rios-Juarez,(523)752-0592,605.792.2001,madeline77@mayer.info,miaedwards@potts-randall.org,http://chavez-summers.com/,Website Form,Negotiation,National eat page.
110,38Ffe1FA1DeBEb5,Derek Cervantes,Adrian,Ashley,"Santana, Chapman and Camacho",854-835-5933x5793,7392687493,janice61@crane.com,dan57@drake-wall.com,http://www.hood.com/,Social Media,Closed Won,The budget customer night likely behavior leader edge.
111,D5BF69B0Edc9ecA,Holly Palmer,Shaun,Romero,Todd-Chavez,496.202.7052,+1-571-203-5851x3092,zmccarty@garrison.com,espinozasonya@herman.net,https://singleton.info/,Networking Event,Closed Won,Research near teacher may speak red remain everything.
